cauldron,date,average_section_slope,average_section_r_squared,section_count,total_generation_minutes,start_of_day_amount,end_of_day_amount
cauldron_001,2025-10-30,0.10553392621724657,0.9580650617503357,189,932.0,226.98,338.47
cauldron_001,2025-10-31,0.1382064052303614,0.9621393440885059,223,684.0,338.69,445.32
cauldron_001,2025-11-01,0.15019713449240985,0.9565624558373393,184,629.0,445.56,465.35
cauldron_001,2025-11-02,0.17716262181718664,0.9706296243863114,208,639.0,465.23,590.49
cauldron_001,2025-11-03,0.18081798358617485,0.9590560763520404,173,553.0,590.56,614.14
cauldron_001,2025-11-04,0.19581511890303438,0.9598247234513887,181,521.0,613.94,639.6
cauldron_001,2025-11-05,0.20802033429533423,0.958889647988552,180,468.0,639.51,648.97
cauldron_001,2025-11-06,0.20710188341070707,0.962800085726234,170,510.0,649.18,668.66
cauldron_001,2025-11-07,0.1682488060737727,0.9566285734736997,133,418.0,668.94,510.2
cauldron_001,2025-11-08,0.16033078397012956,0.9526719030485803,183,554.0,510.41,525.87
cauldron_001,2025-11-09,0.18246277056277058,0.9612483156967006,225,598.0,526.13,640.35
cauldron_002,2025-10-30,0.09806185434007507,0.95522230910882,211,818.0,240.22,330.31
cauldron_002,2025-10-31,0.1212998760033943,0.9564760135265247,199,629.0,330.38,407.77
cauldron_002,2025-11-01,0.12552458874458794,0.959368913784289,200,594.0,407.31,419.14
cauldron_002,2025-11-02,0.1471993194839348,0.9506462870226079,195,562.0,419.37,448.31
cauldron_002,2025-11-03,0.15201194659403616,0.9670454420872743,201,557.0,447.85,510.97
cauldron_002,2025-11-04,0.15398101483229135,0.9533671864112995,145,419.0,511.2,414.8
cauldron_002,2025-11-05,0.11134975401396013,0.9549396695646307,100,383.0,414.82,126.46
cauldron_002,2025-11-06,0.0746759859213966,0.9548775422760886,99,1188.0,126.0,215.7
cauldron_002,2025-11-07,0.08390660197405181,0.949473535867115,88,970.0,215.81,130.7
cauldron_002,2025-11-08,0.06662979735888097,0.9862530773261579,12,1151.0,130.75,150.45
cauldron_002,2025-11-09,0.07301848061069781,0.9702149900937533,99,1108.0,150.56,204.23
cauldron_003,2025-10-30,0.11667779733166686,0.9578872770025103,195,912.0,276.49,406.29
cauldron_003,2025-10-31,0.1578078302874278,0.9582275898506795,183,643.0,406.26,441.86
cauldron_003,2025-11-01,0.15886727878348747,0.9610182319038617,182,594.0,442.04,426.87
cauldron_003,2025-11-02,0.14921776363541106,0.9591745507204237,185,694.0,426.42,504.27
cauldron_003,2025-11-03,0.17662679384107607,0.9612242704298232,189,532.0,504.52,528.2
cauldron_003,2025-11-04,0.16956297078989746,0.9607536148523156,195,531.0,528.45,551.74
cauldron_003,2025-11-05,0.1731333445466124,0.9643038772683253,196,566.0,551.63,581.46
cauldron_003,2025-11-06,0.2007918157893859,0.9609364158993076,206,525.0,581.64,633.84
cauldron_003,2025-11-07,0.20751485915348283,0.9592217533524602,211,579.0,633.39,738.33
cauldron_003,2025-11-08,0.21050588697017253,0.9605798107690506,182,485.0,738.22,760.09
cauldron_003,2025-11-09,0.2401278337047563,0.9680162836838444,169,437.0,760.51,757.48
cauldron_004,2025-10-30,0.09626496966075516,0.9570042487657638,170,974.0,181.53,283.1
cauldron_004,2025-10-31,0.10412516992672365,0.9552580651698903,129,684.0,283.13,190.49
cauldron_004,2025-11-01,0.08024859181766594,0.970530240633939,56,1143.0,190.62,197.12
cauldron_004,2025-11-02,0.09208025982431185,0.964910823965301,162,954.0,197.22,300.96
cauldron_004,2025-11-03,0.10317740415433298,0.9573265131566552,174,718.0,301.01,314.17
cauldron_004,2025-11-04,0.12878221431115483,0.9607036347480228,218,755.0,314.11,421.31
cauldron_004,2025-11-05,0.12412381392016274,0.9542406662721051,178,631.0,421.43,426.66
cauldron_004,2025-11-06,0.1517023213753065,0.9571324862440989,211,620.0,426.68,525.11
cauldron_004,2025-11-07,0.15402973115899102,0.9631558267173886,176,537.0,525.26,523.37
cauldron_004,2025-11-08,0.17274885922158476,0.9563773363152746,165,477.0,523.59,463.23
cauldron_004,2025-11-09,0.15351562722991016,0.9585420383326759,203,643.0,462.77,538.82
cauldron_005,2025-10-30,0.11841424032340461,0.9477115249866852,191,729.0,293.94,360.4
cauldron_005,2025-10-31,0.12313277134246056,0.9574495294973463,133,530.0,360.63,207.03
cauldron_005,2025-11-01,0.0910453987284965,0.9655612476636259,146,1011.0,206.57,283.18
cauldron_005,2025-11-02,0.11430301120756188,0.9514282074623518,159,650.0,283.13,236.9
cauldron_005,2025-11-03,0.0941115855718351,0.9574033003080908,152,874.0,236.44,257.58
cauldron_005,2025-11-04,0.10339630581767105,0.9628393232994591,164,802.0,257.64,268.35
cauldron_005,2025-11-05,0.09809137550122529,0.9568874416712038,145,898.0,267.89,283.54
cauldron_005,2025-11-06,0.11804592037537771,0.9572471043102443,173,702.0,283.67,294.25
cauldron_005,2025-11-07,0.10295451112237401,0.9625211391721256,161,812.0,294.24,304.17
cauldron_005,2025-11-08,0.12219626027190383,0.9507659171442704,187,691.0,304.2,354.93
cauldron_005,2025-11-09,0.128156668624898,0.9635271026279101,191,675.0,354.47,419.24
cauldron_006,2025-10-30,0.07516270002763382,0.9491296058840736,165,966.0,160.36,238.42
cauldron_006,2025-10-31,0.07022387866784917,0.9549015265869899,160,841.0,238.43,225.22
cauldron_006,2025-11-01,0.0882004328411658,0.9575096109641895,207,712.0,225.28,299.15
cauldron_006,2025-11-02,0.10259750459323515,0.9650596352260058,186,620.0,299.06,283.92
cauldron_006,2025-11-03,0.08927585257584787,0.9537586113982549,175,709.0,284.11,270.05
cauldron_006,2025-11-04,0.10715894406768382,0.9692594292334943,194,690.0,270.1,317.53
cauldron_006,2025-11-05,0.10220894125283458,0.9519816075314615,197,604.0,317.06,334.99
cauldron_006,2025-11-06,0.10749080990008845,0.9601859482884039,183,574.0,335.2,318.29
cauldron_006,2025-11-07,0.09342179983449876,0.9547566022205507,189,616.0,318.45,299.11
cauldron_006,2025-11-08,0.09928818512947757,0.960352642122513,178,604.0,299.3,280.5
cauldron_006,2025-11-09,0.09152085698481015,0.9677394563292566,169,689.0,280.5,266.39
cauldron_007,2025-10-30,0.14573924524916,0.9588859142614075,188,721.0,339.56,382.87
cauldron_007,2025-10-31,0.15241130347851253,0.9515582333358037,200,730.0,382.42,503.64
cauldron_007,2025-11-01,0.19056245426686458,0.9563657919657711,180,571.0,503.58,543.98
cauldron_007,2025-11-02,0.2036868671840643,0.9624445116125522,189,575.0,544.07,587.99
cauldron_007,2025-11-03,0.19037189376279892,0.9625818509771001,165,495.0,588.33,530.63
cauldron_007,2025-11-04,0.19844929816376275,0.960525607845603,197,578.0,530.58,579.6
cauldron_007,2025-11-05,0.1898038819104367,0.9583420755446924,183,581.0,579.87,624.04
cauldron_007,2025-11-06,0.19563782831751383,0.9576889261535958,192,539.0,624.34,657.85
cauldron_007,2025-11-07,0.22603519764549537,0.9609837846921176,204,559.0,657.94,733.79
cauldron_007,2025-11-08,0.2534319288210013,0.9624856002544051,199,536.0,733.34,840.1
cauldron_007,2025-11-09,0.24740282181586815,0.9643301628995262,184,487.0,840.0,877.07
cauldron_008,2025-10-30,0.09457212845680812,0.9654833191904679,90,1233.0,192.62,115.34
cauldron_008,2025-10-31,0.08109369050541511,0.9994645679930603,3,1140.0,115.38,72.25
cauldron_008,2025-11-01,0.08012960603892351,0.9988907426152386,3,1145.0,72.36,69.69
cauldron_008,2025-11-02,0.08028690675644067,0.9996400292357034,3,847.0,69.75,47.3
cauldron_008,2025-11-03,0.08051445928135567,0.9999247412514257,1,1637.0,47.38,141.58
cauldron_008,2025-11-04,0.08852026040088738,0.967130097663184,64,769.0,141.6,222.14
cauldron_008,2025-11-05,0.09574884458639558,0.9531252760699638,155,858.0,222.18,237.35
cauldron_008,2025-11-06,0.09614314909085034,0.9632248235699369,52,781.0,237.5,99.78
cauldron_008,2025-11-07,0.07832963569192469,0.9999181886018311,1,1394.0,99.44,169.38
cauldron_008,2025-11-08,0.08953582302881491,0.9789219585655706,34,1004.0,169.42,66.92
cauldron_008,2025-11-09,0.07948556215632839,0.9999513264634973,1,1200.0,66.97,144.54
cauldron_009,2025-10-30,0.1817399731797151,0.9999743049255388,1,2135.0,2.41,264.27
cauldron_009,2025-10-31,0.19854784263686406,0.9701819282397799,51,614.0,264.46,520.32
cauldron_009,2025-11-01,0.23150280162706396,0.9623972832203713,126,766.0,520.69,590.65
cauldron_009,2025-11-02,0.254585717871698,0.9592125139112156,191,821.0,590.2,805.39
cauldron_009,2025-11-03,0.29879270145059517,0.9557693273552228,171,581.0,805.24,866.81
cauldron_009,2025-11-04,0.3183130186921175,0.9635429910239723,135,498.0,867.42,845.13
cauldron_009,2025-11-05,0.14402636927949714,0.9194682778906023,202,682.0,844.68,949.83
cauldron_009,2025-11-06,0.21374724134720496,0.9402290482911143,143,479.0,949.97,852.68
cauldron_009,2025-11-07,0.21335311413056882,0.9296067632938941,173,587.0,853.1,876.64
cauldron_009,2025-11-08,0.1581313630067108,0.9430088533143924,209,627.0,876.19,949.8
cauldron_009,2025-11-09,0.1686851658106165,0.9296810971296281,156,572.0,949.54,906.33
cauldron_010,2025-10-30,0.08763657157527245,0.9643555399317212,106,918.0,203.81,168.69
cauldron_010,2025-10-31,0.08212039277781004,0.9731184169659625,51,1250.0,168.23,227.4
cauldron_010,2025-11-01,0.10857857460646766,0.962101097572839,191,871.0,227.57,333.2
cauldron_010,2025-11-02,0.11275269346899569,0.9578065570472503,175,690.0,332.8,351.75
cauldron_010,2025-11-03,0.13234226418166697,0.9587007257495114,214,712.0,351.82,462.69
cauldron_010,2025-11-04,0.1486191216191218,0.963043008214787,198,613.0,462.67,476.74
cauldron_010,2025-11-05,0.15877768792054475,0.9638107780539301,189,544.0,476.99,486.76
cauldron_010,2025-11-06,0.14448314991080033,0.9659876631940921,187,558.0,486.81,490.85
cauldron_010,2025-11-07,0.15841363819107723,0.9503808839948508,164,507.0,491.03,494.32
cauldron_010,2025-11-08,0.1617893607194395,0.9582928044736709,159,518.0,494.46,416.22
cauldron_010,2025-11-09,0.1266936768446168,0.9556340805327854,66,475.0,416.21,132.78
cauldron_011,2025-10-30,0.12458724603834051,0.9707802979570399,121,568.0,410.88,247.89
cauldron_011,2025-10-31,0.10212214189843104,0.9584658149926492,71,1089.0,247.91,280.59
cauldron_011,2025-11-01,0.13075142735860565,0.9602622012721185,180,873.0,280.6,410.74
cauldron_011,2025-11-02,0.13467422867764903,0.9496442868095348,125,562.0,410.8,248.72
cauldron_011,2025-11-03,0.10345570188248941,0.9584695517289309,59,911.0,248.88,183.05
cauldron_011,2025-11-04,0.10341542344925926,0.9911235634467503,9,1245.0,182.6,214.84
cauldron_011,2025-11-05,0.09928864572953036,0.9522514729161132,80,1116.0,214.99,168.24
cauldron_011,2025-11-06,0.10004537600649882,0.96840750156418,52,959.0,168.39,201.05
cauldron_011,2025-11-07,0.09893143832273728,0.967768734844659,57,1028.0,201.22,187.68
cauldron_011,2025-11-08,0.10120571541218082,0.9599614400971994,67,1193.0,187.23,264.39
cauldron_011,2025-11-09,0.11949372063797824,0.9560808684615325,143,775.0,264.41,250.15
cauldron_012,2025-10-30,0.07074916189544071,0.9772437722341966,21,1226.0,174.48,172.03
cauldron_012,2025-10-31,0.08374093837219206,0.9602364772579961,165,979.0,172.15,266.27
cauldron_012,2025-11-01,0.10179746558086407,0.9605405024997672,140,639.0,266.27,198.54
cauldron_012,2025-11-02,0.07716916288879311,0.9645589640546931,83,1061.0,198.69,194.69
cauldron_012,2025-11-03,0.09501915583796278,0.958867377430147,175,922.0,194.7,290.93
cauldron_012,2025-11-04,0.10131780711491332,0.9543196867440945,173,700.0,290.91,303.88
cauldron_012,2025-11-05,0.11766880287200383,0.9547145264313099,203,726.0,303.83,399.67
cauldron_012,2025-11-06,0.11952297004914919,0.9549849955030141,191,564.0,399.81,392.0
cauldron_012,2025-11-07,0.12732829217883435,0.9578892983341614,184,554.0,392.24,389.02
cauldron_012,2025-11-08,0.13418702013617415,0.9666110909530303,177,558.0,389.12,345.38
cauldron_012,2025-11-09,0.11349448522117161,0.9570045817353653,193,650.0,344.92,382.04
